,Month,Billed Cost,Occupancy Pct,Energy Demand,Billed Usage,Property Area
29,June,10846,0.91,292,87384,57818
30,July,11984,0.94,298,98286,57818
31,August,11208,0.94,281,92791,57818
32,September,10720,0.94,308,87168,57818
33,October,10625,0.94,262,86523,57818
34,November,11491,0.94,364,90699,57818
35,December,12218,0.94,432,94051,57818
48,January,12280,0.94,472,100419,57818
49,February,11968,0.94,436,97901,57818
50,March,10830,0.94,390,86784,57818
51,April,10194,0.94,320,83874,57818
52,May,8469,0.94,242,69682,57818
53,June,11931,0.94,203,96129,57818
54,July,11561,0.94,342,91395,57818
55,August,12176,0.94,315,98275,57818
56,September,11729,0.94,297,95829,57818
57,October,9328,0.94,262,74053,57818
58,November,10466,0.94,447,76386,57818
59,December,13270,0.94,520,98691,57818
60,January,12580,0.91,563,92193,57818
61,February,10628,0.91,498,80393,57818
62,March,10626,0.98,457,82770,57818
63,April,9763,0.98,269,81965,57818
64,May,9233,0.98,276,78492,57818
65,June,11036,1.0,285,95180,57818
66,July,10401,1.0,296,88660,57818
67,August,10300,1.0,287,88360,57818
68,September,11228,1.0,290,97363,57818
69,October,8949,1.0,266,73789,57818
70,November,9842,1.0,453,74826,57818
71,December,11247,1.0,500,87371,57818
72,January,17079,1.0,590,141921,57818
73,February,13495,1.0,556,122001,57818
74,March,13381,1.0,437,128294,57818
75,April,11587,1.0,364,110896,57818
76,May,9921,1.0,305,97405,57818
77,June,11011,1.0,301,106918,57818
78,July,10286,1.0,295,99505,57818
79,August,9810,1.0,305,90793,57818
80,September,9867,1.0,308,92281,57818
81,October,7799,1.0,251,72146,57818
82,November,9502,1.0,391,84142,57818
83,December,9625,1.0,373,85681,57818
84,January,10310,1.0,406,92973,57818
85,February,11029,1.0,388,100557,57818
86,March,9580,1.0,397,85758,57818
87,April,8398,1.0,277,76441,57818
88,May,7873,1.0,262,71410,57818
89,June,10759,1.0,292,104725,57818
13,August,528,1.0,85,4874,42793
14,September,2103,0.0,83,14158,42793
15,October,2825,0.0,73,20471,42793
16,November,5244,0.54,107,41546,42793
17,December,5713,0.54,97,46226,42793
18,January,5555,0.54,94,45222,42793
19,February,5401,0.54,98,40758,42793
20,March,6484,0.54,106,45109,42793
21,April,6415,0.54,119,44035,42793
22,May,7038,0.54,137,49056,42793
23,June,7042,0.54,185,49224,42793
24,July,6662,0.54,139,48561,42793
25,August,6197,0.54,126,47245,42793
26,September,5810,0.54,127,47554,42793
27,October,4832,0.54,116,41908,42793
28,November,4517,0.54,95,37021,42793
29,December,5490,0.54,85,37698,42793
42,January,5216,0.54,108,46782,42793
43,February,5080,0.54,105,44753,42793
44,March,5312,0.54,102,47579,42793
45,April,5374,0.54,117,47165,42793
46,May,5689,0.54,107,49270,42793
47,June,5995,0.54,150,50826,42793
48,July,6660,0.54,185,56218,42793
49,August,6905,0.54,170,60240,42793
50,September,5963,0.54,142,51360,42793
51,October,5206,0.54,118,43832,42793
52,November,5053,0.54,96,42827,42793
53,December,5000,0.54,93,42651,42793
54,January,4335,0.54,98,35657,42793
55,February,4295,0.54,94,35771,42793
56,March,4526,0.54,98,38062,42793
57,April,4666,0.54,108,40045,42793
58,May,5011,0.54,118,43239,42793
59,June,5269,1.0,158,44107,42793
60,July,5502,1.0,153,47219,42793
61,August,5537,1.0,152,47244,42793
62,September,4726,1.0,143,38472,42793
63,October,4048,1.0,98,33466,42793
64,November,4391,1.0,85,37716,42793
65,December,5641,1.0,82,50576,42793
66,January,4590,0.54,87,45258,42793
67,February,5008,0.54,128,49101,42793
68,March,5368,0.6,106,53942,42793
69,April,5510,0.77,152,55111,42793
70,May,6087,0.77,151,60400,42793
71,June,6210,0.79,174,60790,42793
72,July,6107,0.82,172,58555,42793
73,August,6432,0.92,177,62544,42793
74,September,6044,0.92,162,58945,42793
75,October,4707,0.94,143,43803,42793
76,November,4537,1.0,94,43459,42793
77,December,4538,1.0,96,43378,42793
78,January,4549,1.0,105,43054,42793
79,February,4240,1.0,96,40491,42793
80,March,4554,1.0,116,42658,42793
81,April,4615,1.0,132,42889,42793
82,May,5585,1.0,156,53881,42793
83,June,6012,1.0,173,58930,42793
6,January,53420,0.89,1466,388587,252289
7,February,56309,0.93,1431,420255,252289
8,March,46301,0.93,1233,334803,252289
9,April,43652,0.95,1147,323992,252289
10,May,49814,0.87,1169,375370,252289
11,June,52052,0.86,1143,391262,252289
12,July,50639,0.86,1153,377497,252289
13,August,51418,0.86,1116,384918,252289
14,September,44328,0.9,1137,320394,252289
15,October,41995,0.9,1086,302865,252289
16,November,52462,0.9,1026,375018,252289
17,December,53660,0.9,1360,395575,252289
18,January,55577,0.87,1385,411335,252289
19,February,55455,0.87,1426,408291,252289
20,March,39753,0.87,1272,276229,252289
21,April,40762,0.87,1028,286460,252289
22,May,47967,0.87,1149,331545,252289
23,June,49411,0.87,1097,350599,252289
24,July,46343,0.87,1065,326058,252289
25,August,49700,0.87,1072,353946,252289
26,September,45215,0.87,992,313930,252289
27,October,41733,0.87,996,280822,252289
28,November,48589,0.87,1282,327108,252289
29,December,87079,0.84,1303,467824,252289
30,January,57457,0.84,1371,387276,252289
31,February,55316,0.84,1061,360020,252289
32,March,50943,0.84,1068,316524,252289
33,April,43954,0.8,1031,286733,252289
34,May,50594,0.81,1095,339121,252289
35,June,50934,0.81,1000,354031,252289
36,July,48337,0.81,1034,325362,252289
37,August,50083,0.81,1040,343959,252289
38,September,46194,0.81,1021,305342,252289
39,October,44274,0.81,1048,291494,252289
40,November,47903,0.84,1234,307037,252289
41,December,51272,0.84,1369,331855,252289
42,January,54827,0.84,1243,367044,252289
43,February,46273,0.84,1228,293548,252289
44,March,46085,0.82,1135,299177,252289
45,April,39075,0.82,946,260771,252289
46,May,44761,0.78,1126,296177,252289
47,June,45919,0.78,983,301072,252289
48,July,49346,0.78,1036,326241,252289
49,August,52286,0.78,1059,349117,252289
50,September,43706,0.78,966,281097,252289
51,October,43225,0.78,1084,267693,252289
52,November,48003,0.78,1201,305954,252289
53,December,50035,0.78,1153,322511,252289
54,January,41257,0.78,1039,291678,252289
55,February,41959,0.79,1133,293569,252289
56,March,40029,0.69,1033,285424,252289
57,April,39655,0.72,956,287583,252289
58,May,44184,0.72,987,328851,252289
59,June,43734,0.76,992,319666,252289
60,July,42691,0.71,989,307272,252289
61,August,43426,0.72,919,301909,252289
62,September,40164,0.8,906,269508,252289
63,October,40497,0.72,978,263895,252289
64,November,42229,0.74,1094,269094,252289
65,December,55837,0.72,1110,399888,252289
66,January,44974,0.72,1084,291276,252289
67,February,41288,0.68,1096,249296,252289
68,March,40262,0.55,1006,248543,252289
69,April,37117,0.55,888,232654,252289
70,May,41898,0.57,924,271367,252289
71,June,42487,0.56,905,272915,252289
72,July,40875,0.56,882,263869,252289
73,August,40442,0.56,868,265063,252289
74,September,35964,0.46,798,206564,252289
75,October,39221,0.46,908,221784,252289
76,November,42948,0.46,1062,249325,252289
77,December,50653,0.48,1230,301276,252289
78,January,47214,0.31,1256,269526,252289
79,February,40989,0.41,1113,228364,252289
80,March,36500,0.41,915,208011,252289
81,April,38009,0.41,831,230492,252289
82,May,41316,0.46,877,256285,252289
83,June,42071,0.46,909,257527,252289
84,July,40777,0.46,1033,261070,252289
85,August,32482,0.46,692,207539,252289
86,September,3903,0.51,62,26724,252289
6,January,16076,1.0,507,131700,78104
7,February,17463,1.0,576,146400,78104
8,March,15489,1.0,492,129000,78104
9,April,15708,1.0,438,136800,78104
10,May,13971,1.0,342,123000,78104
11,June,16078,1.0,330,137100,78104
12,July,15902,1.0,366,134400,78104
13,August,15792,1.0,330,134400,78104
14,September,14049,1.0,327,123300,78104
15,October,14858,1.0,384,124200,78104
16,November,13124,1.0,441,106500,78104
17,December,17983,1.0,308,149100,78104
18,January,18381,1.0,549,150900,78104
19,February,15356,1.0,543,134100,78104
20,March,12528,1.0,540,105300,78104
21,April,14002,1.0,498,118800,78104
22,May,12664,1.0,336,112200,78104
23,June,14960,1.0,342,133200,78104
24,July,16391,1.0,402,146400,78104
25,August,11453,1.0,339,100800,78104
26,September,14646,1.0,327,132600,78104
27,October,12768,1.0,321,112500,78104
28,November,13050,1.0,474,109500,78104
29,December,15676,1.0,362,133800,78104
44,March,12987,0.82,518,127290,78104
45,April,14574,0.82,463,128411,78104
46,May,10920,0.82,377,110801,78104
47,June,14041,0.82,330,134215,78104
48,July,13017,0.84,352,128177,78104
49,August,15204,0.84,344,132206,78104
50,September,15211,0.84,328,139189,78104
51,October,12788,0.84,350,116859,78104
52,November,12086,0.84,515,113923,78104
53,December,14445,0.84,570,133285,78104
54,January,16160,0.84,630,154050,78104
55,February,8177,0.84,556,124029,78104
56,March,13423,0.84,562,125950,78104
57,April,12673,0.84,476,123622,78104
58,May,18928,0.84,370,116308,78104
59,June,13312,0.84,338,141011,78104
60,July,12983,0.84,351,127387,78104
61,August,12440,0.84,351,125670,78104
62,September,13597,0.84,331,136550,78104
63,October,12177,0.84,334,116697,78104
64,November,12702,0.84,527,118149,78104
65,December,13897,0.84,552,135574,78104
66,January,30786,0.84,664,179949,78104
67,February,14123,0.84,575,139298,78104
68,March,14297,0.84,601,123228,78104
69,April,14725,0.89,561,132290,78104
70,May,14389,0.89,397,127699,78104
71,June,15308,0.89,349,152884,78104
72,July,15074,0.89,367,150030,78104
73,August,14553,0.89,341,141036,78104
74,September,15242,0.89,348,149927,78104
75,October,13298,0.89,358,128587,78104
76,November,14394,0.89,567,130731,78104
77,December,15951,0.89,610,144588,78104
78,January,18395,0.89,654,168646,78104
79,February,16443,0.89,596,148060,78104
80,March,16304,0.89,600,148562,78104
81,April,14323,0.89,517,128438,78104
82,May,13503,0.89,443,122883,78104
83,June,15136,0.89,335,148895,78104
6,January,28564,0.23,600,269600,159000
7,February,30362,0.32,608,302400,159000
8,March,28684,0.27,616,267200,159000
9,April,28001,0.27,624,253600,159000
10,May,26922,0.27,440,232800,159000
11,June,31726,0.27,704,272800,159000
12,July,28912,0.31,552,237600,159000
13,August,30485,0.32,640,264800,159000
14,September,29282,0.32,576,244000,159000
15,October,27961,0.32,496,246400,159000
16,November,26923,0.49,488,226400,159000
17,December,29041,0.49,584,267200,159000
18,January,33409,0.26,680,347200,159000
19,February,33742,0.26,608,345600,159000
20,March,29023,0.31,520,249600,159000
21,April,30223,0.31,568,272800,159000
22,May,29192,0.34,696,252800,159000
23,June,33170,0.34,672,280800,159000
24,July,33175,0.34,640,296000,159000
25,August,37043,0.38,760,311200,159000
26,September,36730,0.38,704,322400,159000
27,October,35442,0.82,656,345600,159000
28,November,33110,0.82,688,298400,159000
29,December,35758,0.82,664,352000,159000
30,January,38589,0.82,696,400000,159000
31,February,37158,0.82,720,364800,159000
32,March,35409,0.82,768,330400,159000
33,April,35271,0.82,680,328000,159000
34,May,33439,0.84,720,291200,159000
35,June,37810,0.84,728,326400,159000
36,July,40837,0.85,776,357600,159000
37,August,39966,0.86,760,349600,159000
38,September,39510,0.86,712,352000,159000
39,October,34343,0.86,632,301600,159000
40,November,34065,0.9,592,296000,159000
41,December,35260,0.9,664,320000,159000
42,January,37375,0.95,688,383200,159000
43,February,36869,0.95,744,365600,159000
44,March,36128,0.95,640,349600,159000
45,April,34301,0.98,608,324000,159000
46,May,34720,0.98,640,319200,159000
47,June,36293,0.98,696,369600,159000
48,July,35080,0.98,720,351200,159000
49,August,35380,0.98,696,373600,159000
50,September,34707,0.98,688,363200,159000
51,October,31775,0.98,672,319200,159000
52,November,31144,0.98,616,304000,159000
53,December,32439,0.98,720,335200,159000
54,January,32971,0.98,784,348000,159000
55,February,31974,0.98,680,324000,159000
56,March,31288,0.98,656,304000,159000
57,April,31504,0.92,616,306400,159000
58,May,31370,0.93,664,303200,159000
59,June,33531,0.93,672,332800,159000
60,July,30808,0.94,560,285600,159000
61,August,31477,0.94,600,304800,159000
62,September,29441,0.94,568,268800,159000
63,October,27865,0.94,576,249600,159000
64,November,27195,0.94,520,235200,159000
65,December,30169,0.94,552,304000,159000
66,January,34659,0.94,664,368000,159000
67,February,32042,0.94,563,312000,159000
68,March,27630,0.94,584,272000,159000
69,April,30149,0.93,536,274400,159000
70,May,30543,0.93,552,284800,159000
71,June,29068,0.93,560,272800,159000
72,July,29826,0.93,616,264000,159000
73,August,29387,0.93,584,271200,159000
74,September,28699,0.93,576,258400,159000
75,October,21263,0.93,600,244800,159000
76,November,25890,0.93,544,216800,159000
77,December,28727,0.93,624,276000,159000
78,January,26793,0.93,602,230400,159000
79,February,26869,0.93,600,228800,159000
80,March,25012,0.93,544,192800,159000
81,April,24022,0.93,457,173600,159000
82,May,25053,0.93,487,193600,159000
83,June,21755,0.93,547,203200,159000
84,July,25877,0.93,570,204000,159000
85,August,26793,0.93,582,215200,159000
86,September,25550,0.93,557,204000,159000
87,October,24695,0.93,566,202400,159000
6,January,6099,0.87,186,54400,59843
7,February,5991,0.87,178,52360,59843
8,March,6396,1.0,193,57160,59843
9,April,7981,1.0,242,66600,59843
10,May,9068,1.0,268,74880,59843
11,June,9033,1.0,272,70440,59843
12,July,10016,1.0,282,78760,59843
13,August,9963,1.0,261,80160,59843
14,September,8675,1.0,262,63200,59843
15,October,7995,1.0,209,62880,59843
16,November,7556,1.0,202,55860,59843
17,December,7617,1.0,186,57280,59843
18,January,7466,1.0,183,57780,59843
19,February,8015,1.0,196,51860,59843
20,March,7926,1.0,195,51860,59843
21,April,8986,1.0,219,60480,59843
22,May,10367,1.0,275,69780,59843
23,June,11169,1.0,282,77300,59843
24,July,10646,0.95,280,75220,59843
25,August,10518,0.95,304,80820,59843
26,September,8326,0.89,248,62400,59843
27,October,7589,0.85,224,59060,59843
28,November,6808,0.85,195,55860,59843
29,December,6441,0.85,163,55200,59843
42,January,4945,0.81,141,44020,59843
43,February,6380,0.81,204,50420,59843
44,March,7205,0.89,208,57620,59843
45,April,6857,0.89,227,55360,59843
46,May,7507,0.89,251,60820,59843
47,June,8935,0.89,269,75700,59843
48,July,9042,0.89,295,73780,59843
49,August,9649,0.68,299,80480,59843
50,September,8729,0.68,275,67220,59843
51,October,7460,0.68,240,56820,59843
52,November,6611,0.68,189,53780,59843
53,December,6245,0.81,156,55520,59843
54,January,6046,0.89,169,50580,59843
55,February,6420,0.89,203,50420,59843
56,March,6646,0.89,199,55220,59843
57,April,7028,0.89,253,56160,59843
58,May,7395,0.89,226,66260,59843
59,June,8241,0.89,243,74260,59843
60,July,7222,0.89,256,61760,59843
61,August,7295,0.89,243,64660,59843
62,September,6267,0.89,212,52000,59843
63,October,6312,0.89,218,51380,59843
64,November,4963,0.89,146,43380,59843
65,December,4660,0.89,137,40020,59843
66,January,5231,0.89,164,42400,59843
67,February,4774,0.89,156,35220,59843
68,March,4694,0.89,135,38900,59843
69,April,5597,0.89,201,42080,59843
70,May,6444,0.95,215,51220,59843
71,June,7871,0.95,258,62900,59843
72,July,7843,0.7,251,63540,59843
73,August,8708,0.7,247,73340,59843
74,September,6597,0.7,217,46400,59843
75,October,6232,0.7,185,48500,59843
76,November,5289,0.85,149,42580,59843
77,December,5270,0.85,156,40800,59843
78,January,5868,0.85,177,44980,59843
79,February,5575,0.85,154,44340,59843
80,March,6458,0.85,199,48180,59843
81,April,7047,0.8,217,55840,59843
82,May,8222,0.8,269,62420,59843
83,June,8835,0.8,277,69460,59843
42,January,8931,0.28,111,66502,10155
43,February,9322,0.28,115,69608,10155
44,March,5296,0.28,109,42281,10155
45,April,3111,0.28,55,24074,10155
46,May,2803,0.28,36,22449,10155
47,June,2433,0.28,29,19293,10155
48,July,2325,0.28,29,18167,10155
49,August,2853,0.28,30,23371,10155
50,September,2681,0.28,35,22187,10155
51,October,2285,0.28,32,19166,10155
52,November,5440,0.28,87,49270,10155
53,December,7255,0.28,113,66018,10155
54,January,3131,0.28,116,63593,10155
55,February,6481,0.28,105,56225,10155
56,March,7600,0.42,115,66597,10155
57,April,4769,0.42,80,42868,10155
58,May,4768,0.42,61,43437,10155
59,June,3057,0.42,54,25788,10155
60,July,2327,0.42,34,19578,10155
61,August,2641,0.42,32,22835,10155
62,September,2342,0.42,32,19450,10155
63,October,2480,0.42,37,20696,10155
64,November,5163,0.42,77,45537,10155
65,December,6366,0.42,88,56666,10155
66,January,5877,0.42,87,54892,10155
67,February,6095,0.42,87,58189,10155
68,March,6922,0.42,114,65500,10155
69,April,4999,0.42,99,47120,10155
70,May,3644,0.72,57,33649,10155
71,June,2620,0.72,39,23634,10155
72,July,2303,0.72,35,20089,10155
73,August,2427,0.72,30,21692,10155
74,September,2199,0.72,31,19416,10155
75,October,2280,0.72,37,19800,10155
76,November,3654,0.72,67,32586,10155
77,December,3908,0.72,68,35119,10155
78,January,5646,0.72,90,52426,10155
79,February,4893,0.72,83,45449,10155
80,March,4172,0.72,85,37535,10155
81,April,2950,0.72,45,26633,10155
82,May,2808,0.72,42,25781,10155
83,June,2206,0.72,36,19773,10155
6,January,67767,1.0,1762,873520,308149
7,February,54983,1.0,1731,699440,308149
8,March,54729,1.0,1640,707120,308149
9,April,58353,1.0,1469,771280,308149
10,May,50479,1.0,1501,662780,308149
11,June,61286,1.0,1629,767720,308149
12,July,62677,1.0,1762,786640,308149
13,August,53169,0.92,1629,641180,308149
14,September,60325,0.92,1526,737440,308149
15,October,47834,0.92,1415,580220,308149
16,November,53292,0.92,1402,654960,308149
17,December,54596,0.84,1677,663020,308149
18,January,66892,0.52,1716,837800,308149
19,February,61963,0.52,1867,746900,308149
20,March,53316,0.52,1743,623580,308149
21,April,43357,0.44,1187,513340,308149
22,May,41426,0.44,1349,480620,308149
23,June,47122,0.47,1321,573560,308149
24,July,47750,0.31,1361,564220,308149
25,August,39888,0.31,1155,459060,308149
26,September,42067,0.31,1050,474820,308149
27,October,40203,0.31,1863,480740,308149
28,November,49665,0.37,1501,529720,308149
29,December,51396,0.37,1214,615480,308149
30,January,59003,0.31,1373,675280,308149
31,February,56366,0.31,1444,693520,308149
32,March,50288,0.31,1333,578920,308149
33,April,40853,0.31,1130,488640,308149
34,May,39660,0.32,954,479060,308149
35,June,39895,0.32,1129,495900,308149
36,July,42946,0.39,1233,509040,308149
37,August,43282,0.39,1201,512580,308149
38,September,41618,0.39,1163,502900,308149
39,October,35011,0.47,1532,444780,308149
40,November,40583,0.47,1090,490620,308149
41,December,43932,0.47,1338,480720,308149
42,January,56989,0.45,1469,680200,308149
43,February,45671,0.45,1354,554037,308149
44,March,44146,0.45,1381,502282,308149
45,April,40446,0.45,1126,481400,308149
46,May,38904,0.45,1111,459150,308149
47,June,35010,0.45,935,434770,308149
48,July,44768,0.45,1006,485807,308149
49,August,48783,0.45,1081,468334,308149
50,September,38307,0.45,1103,460731,308149
51,October,29239,0.45,860,448362,308149
52,November,36685,0.45,1122,547534,308149
53,December,42522,0.54,1269,540907,308149
54,January,44247,0.57,1374,602319,308149
55,February,31798,0.57,1186,492708,308149
56,March,30836,0.57,1221,485529,308149
57,April,30014,0.55,1073,475137,308149
58,May,34796,0.55,1021,493807,308149
59,June,41740,0.83,1160,537719,308149
60,July,74843,0.83,1213,691098,308149
61,August,47806,0.81,1254,604367,308149
62,September,37280,0.81,1183,507831,308149
63,October,42463,0.81,1236,513108,308149
64,November,37246,0.81,1485,539637,308149
65,December,37983,0.81,1589,552467,308149
66,January,56010,0.81,1665,739186,308149
67,February,39662,0.81,1646,580230,308149
68,March,38182,0.85,1430,556830,308149
69,April,38282,0.85,1404,547624,308149
70,May,33533,0.85,1182,494830,308149
71,June,45816,0.93,1393,562943,308149
72,July,46530,0.93,1887,596054,308149
73,August,60614,0.93,1364,548955,308149
74,September,50475,0.93,1298,564703,308149
75,October,36661,0.93,1866,523735,308149
76,November,36150,0.93,1866,528465,308149
77,December,40466,0.93,1905,580743,308149
78,January,40674,0.93,1867,687980,308149
79,February,43311,0.93,1873,567809,308149
80,March,40367,0.93,1866,567927,308149
81,April,35084,0.93,1863,503546,308149
82,May,34131,0.93,1861,484283,308149
83,June,34246,0.93,1869,533079,308149
84,July,68413,0.93,1857,559786,308149
85,August,982,0.93,35,8640,308149
86,September,42519,0.93,1857,551737,308149
87,October,35984,0.93,1857,497024,308149
12,January,28383,0.0,1054,232300,146666
13,February,26359,0.0,808,223400,146666
14,March,25138,0.0,916,219500,146666
15,April,26090,0.0,800,239000,146666
16,May,30094,0.0,807,258700,146666
17,June,33096,0.0,708,278400,146666
18,July,34364,0.0,720,273000,146666
19,August,32170,0.0,727,286000,146666
20,September,33772,0.0,791,287081,146666
21,October,30529,1.0,855,250088,146666
22,November,32457,1.0,1110,257713,146666
23,December,40055,1.0,1077,302623,146666
24,January,53855,1.0,1072,306255,146666
25,February,43356,1.0,1112,272661,146666
26,March,36413,1.0,972,255079,146666
27,April,32362,1.0,961,260210,146666
28,May,34751,1.0,608,275710,146666
29,June,34623,1.0,719,287439,146666
30,July,33961,1.0,734,297205,146666
31,August,34751,1.0,801,304627,146666
32,September,35385,1.0,757,311687,146666
33,October,32036,1.0,919,273883,146666
34,November,32926,1.0,1045,275931,146666
35,December,39967,1.0,934,335322,146666
48,January,35106,1.0,1131,303279,146666
49,February,36968,1.0,1139,314884,146666
50,March,36298,1.0,1075,313082,146666
51,April,32388,1.0,946,276392,146666
52,May,37184,1.0,858,321793,146666
53,June,33801,1.0,752,287638,146666
54,July,33589,1.0,729,287640,146666
55,August,38371,1.0,746,338446,146666
56,September,33255,1.0,801,283475,146666
57,October,29862,1.0,869,242535,146666
58,November,34363,1.0,993,278518,146666
59,December,36518,1.0,1077,300910,146666
60,January,36936,1.0,1187,302061,146666
61,February,30021,1.0,1119,237894,146666
62,March,31281,1.0,1119,251191,146666
63,April,27680,1.0,884,230105,146666
64,May,31752,1.0,825,272214,146666
65,June,29989,1.0,840,253462,146666
66,July,26559,1.0,582,231113,146666
67,August,30817,1.0,817,263863,146666
68,September,26467,1.0,731,218440,146666
69,October,25988,1.0,929,205232,146666
70,November,26983,1.0,1048,210599,146666
71,December,32716,1.0,1219,261284,146666
72,January,28728,1.0,1204,252469,146666
73,February,24660,0.89,1093,216774,146666
74,March,24870,0.89,1007,221944,146666
75,April,20467,0.89,981,178559,146666
76,May,21559,0.89,764,195704,146666
77,June,20260,0.89,654,185714,146666
78,July,20673,0.89,524,191840,146666
79,August,21668,0.89,552,201993,146666
80,September,21426,0.89,746,197321,146666
81,October,17860,0.89,886,194446,146666
82,November,27595,0.89,1025,243426,146666
83,December,27010,0.89,1143,232766,146666
84,January,30797,0.68,1121,277349,146666
85,February,24603,0.68,1029,215831,146666
86,March,22452,0.68,1079,187232,146666
87,April,19806,0.68,748,172230,146666
88,May,20606,0.89,516,153369,146666
89,June,21863,0.89,614,207808,146666
23,June,35742,0.96,697,184920,141945
24,July,36193,0.96,701,186560,141945
25,August,32860,0.73,627,171720,141945
26,September,34370,0.73,680,173360,141945
27,October,30447,0.73,613,182320,141945
28,November,35305,0.96,656,227520,141945
29,December,40291,0.96,713,261560,141945
30,January,43171,0.96,713,293440,141945
31,February,44203,0.96,691,308040,141945
32,March,36878,0.96,627,252840,141945
33,April,30047,0.96,620,189400,141945
34,May,26918,0.96,621,167480,141945
35,June,31761,0.96,558,173600,141945
36,July,36315,0.96,673,184800,141945
37,August,38838,1.0,682,198600,141945
38,September,39560,1.0,701,200440,141945
39,October,32064,1.0,624,204360,141945
40,November,34188,1.0,596,225720,141945
41,December,34376,1.0,652,216440,141945
42,January,44185,0.42,658,257520,141945
43,February,42045,0.42,611,246000,141945
44,March,34804,0.42,608,188120,141945
45,April,32799,0.42,577,176600,141945
46,May,28014,0.42,514,146720,141945
47,June,31043,0.41,491,146880,141945
48,July,34365,0.41,547,159880,141945
49,August,31806,0.41,537,140200,141945
50,September,33403,0.49,492,166520,141945
51,October,28013,0.62,490,152120,141945
52,November,29713,0.62,470,174880,141945
53,December,35451,0.57,541,210720,141945
54,January,33845,0.73,506,202880,141945
55,February,34080,0.73,486,208920,141945
56,March,32732,0.73,495,195680,141945
57,April,30217,0.47,441,149920,141945
58,May,25563,0.47,455,125240,141945
59,June,31995,0.47,536,140880,141945
60,July,38929,0.47,554,197880,141945
61,August,34682,0.58,493,161160,141945
62,September,35662,0.58,568,154680,141945
63,October,33359,0.84,550,174080,141945
64,November,35792,0.84,534,200240,141945
65,December,41539,0.84,629,230960,141945
66,January,52680,0.68,670,299360,141945
67,February,40191,0.68,605,214520,141945
68,March,38517,0.68,592,205080,141945
69,April,34510,0.68,526,184200,141945
70,May,32593,0.68,527,169360,141945
71,June,36726,0.68,589,157800,141945
72,July,41805,0.68,620,183640,141945
73,August,42345,0.68,635,184600,141945
74,September,40753,0.68,626,174440,141945
75,October,34161,0.91,533,173680,141945
76,November,43495,0.91,609,237920,141945
77,December,42662,0.91,534,230920,141945
78,January,52925,0.9,691,300200,141945
79,February,48304,0.9,678,267240,141945
80,March,46456,0.9,670,254480,141945
81,April,41440,0.9,608,225320,141945
82,May,37655,0.9,601,197440,141945
83,June,41898,0.9,598,193600,141945
84,July,47448,0.82,632,224760,141945
11,June,16948,0.91,694,225453,104578
12,July,18072,0.91,711,246041,104578
13,August,17792,0.91,778,233941,104578
14,September,16849,0.91,770,212724,104578
15,October,13396,0.91,623,163978,104578
16,November,13800,0.91,622,172392,104578
17,December,16082,0.91,622,206514,104578
18,January,14344,0.91,622,189425,104578
19,February,15614,0.91,609,198582,104578
20,March,13932,0.91,545,176378,104578
21,April,13495,0.91,530,171802,104578
22,May,16890,0.91,706,206315,104578
23,June,17949,1.0,719,226467,104578
24,July,17544,1.0,731,216328,104578
25,August,19220,1.0,714,245005,104578
26,September,16206,1.0,703,188948,104578
27,October,15143,1.0,605,184917,104578
28,November,14934,1.0,585,180390,104578
29,December,14714,1.0,585,171318,104578
30,January,16245,1.0,589,200493,104578
31,February,15549,1.0,616,185024,104578
32,March,14388,1.0,597,164130,104578
33,April,14850,1.0,597,173520,104578
34,May,16695,1.0,624,184691,104578
35,June,19744,1.0,733,232299,104578
36,July,20791,1.0,706,255632,104578
37,August,19560,1.0,732,231650,104578
38,September,18783,1.0,680,222844,104578
39,October,15602,1.0,590,172985,104578
40,November,15758,1.0,525,177211,104578
41,December,16021,1.0,533,178955,104578
42,January,15778,1.0,577,173114,104578
43,February,14871,1.0,531,154134,104578
44,March,15070,1.0,475,157723,104578
45,April,15625,1.0,532,170718,104578
46,May,16581,1.0,650,180269,104578
47,June,19391,1.0,582,238006,104578
48,July,20198,1.0,714,241178,104578
49,August,19229,1.0,683,224721,104578
50,September,18200,1.0,658,208551,104578
51,October,16399,1.0,639,174365,104578
52,November,15056,1.0,479,158482,104578
53,December,15982,1.0,582,180928,104578
54,January,14785,1.0,560,159514,104578
55,February,14709,1.0,482,157820,104578
56,March,14833,1.0,459,160024,104578
57,April,15023,1.0,476,163445,104578
58,May,15748,0.96,588,167908,104578
59,June,16490,0.96,654,180852,104578
60,July,18686,0.96,651,221380,104578
61,August,17410,0.96,571,192350,104578
62,September,17284,0.96,706,192772,104578
63,October,13971,0.96,524,145624,104578
64,November,14681,0.96,403,148700,104578
65,December,15733,0.96,543,172561,104578
66,January,14971,1.0,545,158825,104578
67,February,14975,1.0,482,158824,104578
68,March,14232,1.0,430,145440,104578
69,April,13677,1.0,419,135439,104578
70,May,14174,1.0,468,170409,104578
71,June,15009,1.0,676,199922,104578
72,July,16406,1.0,701,229905,104578
73,August,14750,0.87,666,191105,104578
74,September,13420,0.87,629,166764,104578
75,October,11298,0.87,586,126111,104578
76,November,10297,0.87,561,130468,104578
77,December,11651,0.87,561,140085,104578
78,January,11769,0.87,599,138310,104578
79,February,11128,0.87,561,127290,104578
80,March,11161,0.87,561,128115,104578
81,April,10994,0.87,561,124146,104578
82,May,12021,0.87,639,139404,104578
83,June,13396,1.0,682,166736,104578
